agent_img_001_001_e11ee8244f22	1	Agent	1. 拆文档: 按行提取文字 + 字体、加粗、缩进等样式 2. 正则挖标题: 匹配章节、编号，生成标题特征 3. 人工标少量数据: 标注 level1/2/3 / 正文 4. 训练小模型: XGBoost 学特征，自动分标题层级 5. 后处理修正: 规则补全错误，得到完整结构 6. 按层级切块: 不割裂语义，生成高质量 chunk
agent_img_001_002_cd654a4171e8	1	Agent	| —. Witte Ata? NS intt= 第一步: 确定评估范围明确要履盖哪些领域和文档类型。在我们的金融保险项目中，测试集覆盖了四个核心场景: 理赔流程、产品条款、报销制度、销售策略。每个场景至少 50 条 query, Mit 200+ 条。 第二步: 设计评估问题问题来源有两种: 人工编写——由熟悉文档的人基于内容提出问题。质量高但成本大，适合核心场景。 LLM 自动生成——让大模型阅读文档后生成问答对。速度快但质量参差不齐，需要人工筛选。 选标准是: 问题必须能在知识库中找到明确答案、表述自然不生硬、不跟其他问题重复。 第三步: 标注参考答案和支持证据每个问题需要标注两样东西: 参考答案——这个问题的正确回答是什么。由人工撰写或确认，尽量履盖关键信息点。 支持证据——答案来自哪个文档的哪个片段。记录文档ID、Chunk ID、页码。这不仅用于检索评估 (判断系统有没有找到正确片段)，也用于生成评估 (判断 LLM 有没有基于证据回答)。
agent_img_001_003_30bfe2dad039	1	Agent	BOS: 覆盖多样性和难度测试集不能只有简单题，要包含: 简单事实题——"等待期是多久”” (答案在单个 Chunk 里) 多跳推理题——"买了两份意外险都能赔吗? ” (需要综合多个 Chunk) 否定性查询——"核辐射能赔吗?”” (答案在免责条款里，容易召回错误的承保条款) 口语化查询——"孩子在学校摔了能报不?” (表述跟知识库差异大) 第五步: 质量审查抽样 20% 的标注数据做交叉验证——让另一个人检查参考答案是否正确、支持证据是否能推出答案。我们发现初次标注的错误率约 89%，交叉验证后降到 2% 以下。 第六步: RBG 测试集不是一次性工作。每次发现线上 badcase，就把它加入测试集。我们的测试集从最初的 200 条增长到了 350 条，其中 50 条是从线上 badcase 中沉泥的"难题"。
agent_img_001_004_90500f357b93	1	Agent	AR 数据构造 eee eee ~ Prompts、 P-Tuning、 / / / N\ f \ 1 1 1 | / 构建 {"question": " TEAR B) AY 最高? ","answer":" \ 1 你是一名Mysql数据库开发 | | | I 问答模板 select 公司全称 ffom company_table where 年份 =' | 1 1 人 1 | | | es and is not null order by desc limit 1"} 1 | 据已知的表名、字段名和用 | | | | 1。 1 PRA SIRES salttes | _ 已 = {"question": " 年哪冢公司的最局? 1 1! company_table已知字段 | | | 变量 ""answer": "select 公司全称from company_table where 年 1 | SS | PRE SEQ LEN=128 | =' | SRaOREM NH, Ba I 一 —— I desc limit 1"} | 1 a i 1 max_source_lengt
agent_img_001_005_ce1638579d53	1	Agent	一个可以审到面试里用的答题框以: "我们建立了三路badcase收集渠道 (用户反馈、客服工单、目动检测)，用四分类框以(检索失败、幻觉生成、路由错误、知识缺失) 对badcase分类，按类型分配给对应团队处理。每次修复之后，先企原badcase上验证通过，再跑全量回归测试，确认三个核心指标没有退化超过2%，最后通过107%灰硫友布上线。6个月的实践证明，这套机制把系统准确率从76%提升到了8976。 "
agent_img_001_006_ccc7f5e4f8ea	1	Agent	FAQ 的本质: 不是搜索，是匹配 FAQ 库存储的是Q-A对 (占题-答案对)，核心{王务是: 用户输入的 Query 和库里哪条 Q 最相似，然后返回对应的 A。这本质上是一个文本匹配任务，不是关键词搜索。 udesk 举个例子: FAP Ia):，退钱要多久? FAQ 库里的标准问题是: ”退款到账时效是多少天? O 两句话字面没有重考词，但语义相同，这就要求 FAQ 检索必须用语义匹配而不是关键词匹配。 woshipm
agent_img_001_007_d75dc63bc8b4	1	Agent	|一、幻觉问题: MENT, BSE 这是 RAG 生成阶段最致命的问题。你明明检索到了正确的文档片段，喂给了大模型，但模型生成的回答里居然出现了文档中根本不存在的信息。 为什么会这样?”因为大模型的本质是"续写"——它会基于自己在预训练阶段学到的知识来补全内容。当检索到的上下文不够明确、或者模型对某个话题有"先入为主"的知识时，它就可能混入自己编造的内容，而不是老老实实只用你提供的资料。 在我们训练曹的实战项目中，金融保险场景下这个问题尤其严重。用户问"ABC寿险的保障学围"， 检索到的文档明确写了"涵盖身故、全残保障，附加重大疾病险"，但模型有时会自行补充一句 "还包含住院津贴保障`——这个内容根本不在检索到的文档里，纯粹是模型自己编的。在金融场景下，这种幻觉可能导致严重的合规风险。这也是我在训练营里反复提醒的: 幻觉不是小概率事件，而是 LLM 的天性，必须主动压制。
agent_img_001_008_cd3df81953ab	1	Agent	| 一、记忆模块在 RAG 里到底扮演什么角色? 很多人把"记忆”简单理解为"把对话历史塞进 Prompt"，这只是最初级的做法。 一个完整的记忆模块，本质上是 RAG 系统的第二个检索源。| 第一个检索源是知识库 (静态的、所有用户共享的)，第二个检索源是记忆库 (动态的、跟特定用户/会话绑定的)。 引入记忆模块后，系统的数据流变成了这样: 用户查询进来一同时从知识库检索静态知识、从记忆库检索历史上下文一融合两路信息一 LLM 生成回答一新一轮对话写入记忆库。 这个循环让系统具备了"越聊越介你"的能万。客服场景里，系统记住了用户之前提过的保单信息， 就不用让用户每次都重复报保单号;个人助理场景里，系统记住了用户的饮食偏好，推荐餐厅时就能自动避开不合适的。
agent_img_001_009_94911bd17c4e	1	Agent	| “HyDE® 感觉比较费万" 这位朋友说的没错，HyDE 确实有成本。 回顾一下 HyDE 的思路: 让 LLM 先根据 query 生成一个"假设的理想回答"，再用这个回答的 Embedding 去检索，而不是直接用 query 的 Embedding。好处是假设文档比短 query 语义更丰富，检索效果更好。 但代价也很明显: 每次检索前要多一次 LLM 调用。 这意味着额外的延迟 〈几百毫秒到几秒) 和额外的 API 费用。对于响应速度敏感的在线场景，这个代价可能不划算。 我的建议是: HyDE 不是默认开启的功能，而是针对特定场景的增强策略。 什么时候用 HyDE? 当你的 query 特别短、特别模糊，直接检索效果很差的时候。比如用户只输入了"退保"两个字，向量检索不知道他想问退保流程、退保费用还是退保条件，召回一堆不相关内容。这时候让 LLM 先生成一段关于人退保的完整回答，再用这段回答去检索，效果会好很多。 什么时候不用?”当 query 本身已经足够清晰完整 (比如"2024年车险理赔需要提交哪些材料")，直接检索就能命中，没必要多花一次 LLM 调用。 工程上的做
agent_img_001_010_06e3063fd73c	1	Agent	| 面试怎么答 RAG 权限管理? 面试官问到 RAG 权限管理，一般考察的是两个层次的认知: 第一，你知不知道问题的严重性; 第二，你有没有系统性的解决方案。 第一层，说清楚问题: 向量数据库默认没有行级权限，不做处理上所有用户看到所有数据。在银行、 医疗、政府等场景这是合规红线。 第二层，说三层架构: 接入层做身份认证，JWT Token 携带权限上下文; 检索层在向量数据库的 search() 里通过 expr 或 partition_names 做权限过滤; 返回层对结果做二次验证。 第三层，说两种 Milvus 方案的区别 : 元数据过滤是逻辑隔离，灵活但依赖代码正确性; 分区隔离是物理隔离，安全但分区数量有上限 (4096)，适合按大区隔离再用元数据做细粒度过滤。 第四层，说踩过的坑: 搜完再过滤会导致召回率低，正确做法是搜索时就带 expr 过滤; 分区数量有上限，大型机构要注意; 权限查询要缓存在 Token 里避免延迟。 SHAE, MAM: 关系型数据库用 RLS 做行级安全; 完整的安全审计日志和异常检测机制。 能说出前三层，基本通过; 说出第四层，面试官会觉得你
